Tokens,Labels
"['McKinley', ',', 'now', 'officially', 'renamed', 'Denali', ',', 'has', 'long', 'been', 'a', 'challenge', 'for', 'mountaineers', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'lava', 'fields', 'around', 'Erebus', 'are', 'an', 'eerie', 'sight', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Shasta', 'is', 'revered', 'by', 'Native', 'American', 'tribes', 'for', 'its', 'spiritual', 'significance', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'outdoor', 'enthusiasts', 'flock', 'to', 'Hood', 'each', 'year', 'to', 'climb', 'its', 'snowy', 'slopes', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'eruption', 'of', 'St', '.', 'Helens', 'in', '1980', 'changed', 'the', 'landscape', 'forever', '.']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['On', 'clear', 'days', ',', 'Table', 'Mountain', 'provides', 'a', 'stunning', 'view', 'over', 'Cape', 'Town', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'climb', 'up', 'Adams', 'is', 'a', 'test', 'of', 'endurance', 'and', 'skill', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Baker', 'is', 'a', 'favorite', 'spot', 'for', 'backcountry', 'skiers', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mauna', 'Kea', 'offers', 'a', 'unique', 'combination', 'of', 'tropical', 'warmth', 'and', 'snowy', 'peaks', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mauna', 'Loa', 'is', 'the', 'largest', 'volcano', 'in', 'the', 'world', 'by', 'volume', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ngauruhoe', 'is', 'famous', 'for', 'its', 'appearance', 'in', '""', 'The', 'Lord', 'of', 'the', 'Rings', '""', 'films', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Tasman', 'is', 'often', 'climbed', 'alongside', 'its', 'more', 'famous', 'neighbor', ',', 'Aoraki', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['The', 'active', 'volcano', 'Ruapehu', 'frequently', 'disrupts', 'air', 'travel', 'in', 'New', 'Zealand', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Aoraki', ',', 'also', 'known', 'as', 'Mount', 'Cook', ',', 'is', 'the', 'highest', 'point', 'in', 'New', 'Zealand', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Climbers', 'from', 'around', 'the', 'world', 'attempt', 'to', 'summit', 'Kosciuszko', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['The', 'approach', 'to', 'Whitney', 'through', 'the', 'eastern', 'Sierra', 'is', 'nothing', 'short', 'of', 'breathtaking', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wilson', 'in', 'Australia', 'offers', 'stunning', 'views', 'of', 'both', 'forest', 'and', 'sea', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Taranaki', 'stands', 'isolated', 'in', 'the', 'landscape', ',', 'a', 'solitary', 'sentinel', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ngauruhoe', 'may', 'be', 'small', 'compared', 'to', 'Everest', ',', 'but', 'its', 'volcanic', 'activity', 'makes', 'it', 'formidable', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hagen', 'is', 'located', 'in', 'one', 'of', 'the', 'most', 'ecologically', 'diverse', 'regions', 'on', 'Earth', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wilhelm', 'rises', 'high', 'above', 'the', 'lush', 'jungles', 'of', 'Papua', 'New', 'Guinea', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'steep', 'climb', 'up', 'Batur', 'rewards', 'hikers', 'with', 'stunning', 'views', 'at', 'sunrise', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Sinabung', 'has', 'erupted', 'frequently', 'in', 'recent', 'years', ',', 'causing', 'widespread', 'evacuations', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'eruption', 'of', 'Tambora', 'in', '1815', 'caused', 'a', 'year', 'without', 'summer', 'in', 'Europe', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Merapi', 'is', 'one', 'of', 'Indonesia', ""'"", 's', 'most', 'active', 'volcanoes', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Semeru', 'has', 'a', 'permanent', 'plume', 'of', 'smoke', 'rising', 'from', 'its', 'crater', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'locals', 'believe', 'that', 'spirits', 'inhabit', 'Agung', ',', 'Bali', ""'"", 's', 'tallest', 'volcano', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Rinjani', 'is', 'famous', 'for', 'the', 'crater', 'lake', 'at', 'its', 'summit', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kerinci', 'is', 'the', 'highest', 'peak', 'in', 'Sumatra', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Bromo', 'is', 'often', 'surrounded', 'by', 'a', 'sea', 'of', 'volcanic', 'ash', ',', 'creating', 'a', 'surreal', 'landscape', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'rugged', 'terrain', 'of', 'Fansipan', 'offers', 'a', 'challenging', 'climb', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Elgon', 'straddles', 'the', 'border', 'between', 'Uganda', 'and', 'Kenya', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Kenya', 'is', 'home', 'to', 'a', 'unique', 'variety', 'of', 'flora', 'and', 'fauna', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Stanley', 'is', 'the', 'highest', 'peak', 'in', 'the', 'Rwenzori', 'Range', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
"['Speke', 'is', 'named', 'after', 'the', 'British', 'explorer', 'who', 'was', 'the', 'first', 'European', 'to', 'see', 'Lake', 'Victoria', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'forested', 'slopes', 'of', 'Elgon', 'are', 'home', 'to', 'diverse', 'wildlife', 'species', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Rwenzori', 'is', 'often', 'referred', 'to', 'as', 'the', 'Mountains', 'of', 'the', 'Moon', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Karisimbi', 'is', 'an', 'extinct', 'volcano', 'in', 'the', 'Virunga', 'range', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'glowing', 'lava', 'lake', 'of', 'Nyiragongo', 'is', 'a', 'mesmerizing', 'sight', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Bisoke', 'is', 'home', 'to', 'some', 'of', 'the', 'last', 'remaining', 'mountain', 'gorillas', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Muhabura', 'is', 'known', 'as', 'the', '""', 'guide', '""', 'of', 'the', 'region', 'due', 'to', 'its', 'tall', ',', 'conical', 'shape', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'towering', 'peaks', 'of', 'Gahinga', 'dominate', 'the', 'horizon', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['The', 'massive', 'caldera', 'of', 'Elgon', 'creates', 'a', 'unique', 'landscape', 'for', 'hikers', 'to', 'explore', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cameroon', 'is', 'an', 'active', 'volcano', 'and', 'the', 'highest', 'point', 'in', 'West', 'Africa', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Table', 'Mountain', 'is', 'a', 'beloved', 'symbol', 'of', 'Cape', 'Town', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Jebel', 'Toubkal', 'is', 'a', 'popular', 'trekking', 'destination', 'in', 'Morocco', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'jagged', 'cliffs', 'of', 'Mount', 'Sinai', 'have', 'witnessed', 'countless', 'pilgrimages', 'over', 'the', 'centuries', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['At', '6', ',', '190', 'meters', ',', 'Denali', 'is', 'the', 'tallest', 'peak', 'in', 'North', 'America', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Gunung', 'is', 'part', 'of', 'the', 'volcanic', 'chain', 'that', 'stretches', 'across', 'Indonesia', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'beauty', 'of', 'Annapurna', 'is', 'tempered', 'by', 'its', 'notoriously', 'dangerous', 'climbing', 'conditions', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mera', 'Peak', 'offers', 'a', 'non', '-', 'technical', 'climb', 'with', 'stunning', 'views', 'of', 'the', 'Everest', 'region', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
"['Mount', 'Damavand', 'is', 'the', 'highest', 'peak', 'in', 'the', 'Middle', 'East', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Zugspitze', 'is', 'the', 'tallest', 'mountain', 'in', 'Germany', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Slovenia', ""'"", 's', 'Triglav', 'is', 'a', 'national', 'symbol', ',', 'featured', 'on', 'the', 'country', ""'"", 's', 'flag', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Khuiten', 'in', 'Mongolia', 'is', 'one', 'of', 'the', 'most', 'remote', 'and', 'least', 'climbed', 'mountains', 'in', 'the', 'world', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'legend', 'of', 'Noah', ""'"", 's', 'Ark', 'landing', 'on', 'Ararat', 'has', 'fascinated', 'historians', 'for', 'centuries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'twin', 'peaks', 'of', 'Elbrus', 'dominate', 'the', 'Caucasus', 'Mountains', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Belukha', 'is', 'considered', 'one', 'of', 'the', 'most', 'beautiful', 'and', 'sacred', 'mountains', 'in', 'Siberia', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'frozen', 'peaks', 'of', 'Chersky', 'present', 'a', 'formidable', 'challenge', 'to', 'any', 'climber', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Njesuthi', 'is', 'one', 'of', 'the', 'highest', 'peaks', 'in', 'the', 'Drakensberg', 'mountain', 'range', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"['The', 'jagged', 'cliffs', 'of', 'Drakensberg', 'are', 'both', 'majestic', 'and', 'intimidating', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Dufourspitze', 'is', 'the', 'highest', 'peak', 'in', 'Switzerland', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Austria', ""'"", 's', 'Grossglockner', 'is', 'a', 'popular', 'destination', 'for', 'alpine', 'climbers', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Weisshorn', 'stands', 'out', 'with', 'its', 'distinctive', 'pyramid', 'shape', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Grossglockner', 'towers', 'above', 'the', 'Austrian', 'Alps', ',', 'a', 'favorite', 'among', 'climbers', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'peak', 'of', 'Weisshorn', 'glistens', 'in', 'the', 'early', 'morning', 'sunlight', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Everest', 'continues', 'to', 'be', 'the', 'ultimate', 'challenge', 'for', 'mountaineers', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Climbers', 'have', 'faced', 'many', 'perils', 'while', 'attempting', 'to', 'summit', 'K2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['The', 'beauty', 'of', 'Kangchenjunga', 'can', 'be', 'deceptive', ';', 'it', ""'"", 's', 'one', 'of', 'the', 'deadliest', 'mountains', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['At', '8', ',', '516', 'meters', ',', 'Lhotse', 'is', 'a', 'towering', 'presence', 'next', 'to', 'Everest', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['The', 'steep', 'ridges', 'of', 'Makalu', 'are', 'not', 'for', 'the', 'faint', '-', 'hearted', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cho', 'Oyu', 'is', 'considered', 'one', 'of', 'the', 'easiest', 'of', 'the', 'eight', '-', 'thousanders', ',', 'but', 'it', ""'"", 's', 'still', 'a', 'formidable', 'climb', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Dhaulagiri', 'stands', 'out', 'with', 'its', 'stark', ',', 'snow', '-', 'covered', 'slopes', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'isolated', 'beauty', 'of', 'Manaslu', 'draws', 'climbers', 'seeking', 'solitude', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['The', 'name', 'Nanga', 'Parbat', 'translates', 'to', '""', 'Naked', 'Mountain', ',', '""', 'reflecting', 'its', 'barren', 'slopes', '.']","['O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Annapurna', 'has', 'a', 'higher', 'fatality', 'rate', 'than', 'most', 'other', 'major', 'peaks', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Gasherbrum', 'I', 'is', 'known', 'as', 'the', '""', 'Hidden', 'Peak', '""', 'due', 'to', 'its', 'remote', 'location', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['At', 'over', '8', ',', '000', 'meters', ',', 'Broad', 'Peak', 'offers', 'a', 'stunning', 'panoramic', 'view', 'from', 'its', 'summit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Gasherbrum', 'II', 'is', 'one', 'of', 'the', 'more', 'approachable', 'of', 'the', 'Karakoram', 'giants', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
